,F1(Hz),F2(Hz),F3(Hz),F_mean(Hz),F2-F1(Hz),Word Duration(ms),Relative Max Amplitude
0,0.0,446.6436825647565,972.93559643465,2287.026531480451,709.7896394997033,-1314.090935045801,542.875
1,1.8412079138156259,408.71401799551114,1193.73830007517,1843.6009927628418,801.2261590353405,-649.8626926876718,467.8125
2,2.1376094603275293,588.2082592947869,1260.0424550273515,2561.9248012713306,924.1253571610691,-1301.882346243979,497.0625
3,2.0121049413675225,724.5988311346904,1453.6487347336983,2296.8586699260863,1089.1237829341944,-843.209935192388,341.25
4,2.9298882091517613,226.1999336825186,800.2156811880993,1697.1473429031444,513.207807435309,-896.931661715045,307.625
5,3.2511903371388313,603.3207611182427,1376.8454638504343,2428.8010336903712,990.0831124843385,-1051.955569839937,181.3125
6,5.516398872712755,616.4357760893442,1026.1045136961511,1203.77735882897,821.2701448927477,-177.6728451328188,267.75
7,3.7349416554962676,643.6671179495233,1541.511978565599,2111.623406218889,1092.589548257561,-570.1114276532901,351.0625
8,2.8482603593741462,326.827102800347,970.5555028802524,1946.1926291482805,648.6913028402997,-975.637126268028,497.25
9,2.01135063238365,581.4947191458832,1427.0802791647254,2219.5611540847276,1004.2874991553043,-792.4808749200022,324.8125
10,2.736794368405078,652.4860268937233,1514.2164671265575,2236.8389045771096,1083.3512470101405,-722.6224374505521,309.1875
11,3.241737431998962,1018.1851296200222,1522.646600617444,2496.7916836579006,1270.415865118733,-974.1450830404567,253.56250000000003
12,3.9446117899620305,229.20614369079516,1063.18797270807,1691.1859950156313,646.1970581994326,-627.9980223075613,486.9375
13,2.0836408101419512,555.9782951989788,1325.0551050873837,1828.3759493156551,940.5167001431812,-503.3208442282714,309.9375
14,3.226474489472195,531.0644818640008,1600.5774550078277,2395.90033666724,1065.8209684359142,-795.3228816594124,397.3125
15,2.5169784145736154,174.62820655489736,870.9928154327605,1810.3406757626565,522.810510993829,-939.347860329896,817.625
16,1.224512221312219,679.9386852202189,1675.172463406161,2669.1705399417083,1177.55557431319,-993.9980765355474,231.3125
17,4.322258548600357,186.9186126004284,897.3577648483872,1619.8500360191858,542.1381887244078,-722.4922711707986,370.5
18,2.6995439613122114,608.1702240481599,1695.1118561489234,2493.2155846145483,1151.6410400985417,-798.103728465625,994.0625
19,1.0254837054218844,559.6449506104893,1092.280083517627,1888.840896020058,825.9625170640581,-796.560812502431,875.625
20,1.1418546901815974,562.9807158561171,1151.6811801120464,2723.19905584043,857.3309479840817,-1571.5178757283836,272.5
21,3.6695169375591927,897.43810453037,2219.8434655249007,3021.342775688074,1558.6407850276353,-801.4993101631735,279.625
22,3.5848687347338384,276.80148150244077,991.549728220194,1516.8852305902583,634.1756048613174,-525.3355023700643,543.25
23,1.8407859795888768,696.2186471078285,1548.1904611814384,2580.530572015428,1122.2045541446334,-1032.3401108339895,278.9375
